instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,cnt,season_name,weather_name,weekday_name,time_of_day,casual_ratio,log_casual,log_registered,log_cnt
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.3,0.2836,11,66,77,Spring,Clear,Monday,Midday,0.14285714285714285,2.4849066497880004,4.204692619390966,4.356708826689592
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.3,0.2537,14,58,72,Spring,Clear,Monday,Midday,0.19444444444444445,2.70805020110221,4.07753744390572,4.290459441148391
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.3,0.2537,9,67,76,Spring,Clear,Monday,Evening Peak,0.11842105263157894,2.302585092994046,4.219507705176107,4.343805421853684
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.3,0.2239,11,146,157,Spring,Clear,Monday,Evening Peak,0.07006369426751592,2.4849066497880004,4.990432586778736,5.062595033026967
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.32,0.1045,9,148,157,Spring,Clear,Monday,Evening Peak,0.05732484076433121,2.302585092994046,5.003946305945459,5.062595033026967
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.47,0.0,8,102,110,Spring,Clear,Monday,Evening Peak,0.07272727272727272,2.1972245773362196,4.634728988229636,4.709530201312334
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.47,0.1045,3,49,52,Spring,Clear,Monday,Night/Early Morning,0.057692307692307696,1.3862943611198906,3.912023005428146,3.970291913552122
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.64,0.1343,3,49,52,Spring,Clear,Monday,Night/Early Morning,0.057692307692307696,1.3862943611198906,3.912023005428146,3.970291913552122
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.69,0.1343,0,20,20,Spring,Clear,Monday,Night/Early Morning,0.0,0.0,3.044522437723423,3.044522437723423
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.55,0.1045,1,11,12,Spring,Clear,Monday,Night/Early Morning,0.08333333333333333,0.6931471805599453,2.4849066497880004,2.5649493574615367
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.55,0.1045,0,5,5,Spring,Clear,Tuesday,Night/Early Morning,0.0,0.0,1.791759469228055,1.791759469228055
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.59,0.1045,0,2,2,Spring,Clear,Tuesday,Night/Early Morning,0.0,0.0,1.0986122886681096,1.0986122886681096
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.63,0.1343,0,1,1,Spring,Clear,Tuesday,Night/Early Morning,0.0,0.0,0.6931471805599453,0.6931471805599453
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.63,0.0896,0,2,2,Spring,Clear,Tuesday,Night/Early Morning,0.0,0.0,1.0986122886681096,1.0986122886681096
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.68,0.1045,0,4,4,Spring,Clear,Tuesday,Night/Early Morning,0.0,0.0,1.6094379124341003,1.6094379124341003
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.74,0.1045,0,36,36,Spring,Clear,Tuesday,Morning Peak,0.0,0.0,3.6109179126442243,3.6109179126442243
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.74,0.1343,2,92,94,Spring,Clear,Tuesday,Morning Peak,0.02127659574468085,1.0986122886681096,4.532599493153256,4.553876891600541
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.69,0.1642,2,177,179,Spring,Clear,Tuesday,Morning Peak,0.0111731843575419,1.0986122886681096,5.181783550292085,5.19295685089021
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.64,0.2239,2,98,100,Spring,Clear,Tuesday,Morning Peak,0.02,1.0986122886681096,4.59511985013459,4.61512051684126
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.69,0.3284,5,37,42,Spring,Mist,Tuesday,Midday,0.11904761904761904,1.791759469228055,3.6375861597263857,3.7612001156935624
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.51,0.2985,7,50,57,Spring,Clear,Tuesday,Midday,0.12280701754385964,2.0794415416798357,3.9318256327243257,4.060443010546419
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.51,0.1642,12,66,78,Spring,Clear,Tuesday,Midday,0.15384615384615385,2.5649493574615367,4.204692619390966,4.3694478524670215
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.56,0.194,18,79,97,Spring,Clear,Tuesday,Midday,0.18556701030927836,2.9444389791664403,4.382026634673881,4.584967478670572
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.52,0.2239,9,54,63,Spring,Clear,Tuesday,Midday,0.14285714285714285,2.302585092994046,4.007333185232471,4.1588830833596715
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.52,0.2537,17,48,65,Spring,Clear,Tuesday,Midday,0.26153846153846155,2.8903717578961645,3.8918202981106265,4.189654742026425
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.49,0.2537,15,68,83,Spring,Clear,Tuesday,Evening Peak,0.18072289156626506,2.772588722239781,4.23410650459726,4.430816798843313
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.48,0.2239,10,202,212,Spring,Clear,Tuesday,Evening Peak,0.04716981132075472,2.3978952727983707,5.313205979041787,5.3612921657094255
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.48,0.194,3,179,182,Spring,Clear,Tuesday,Evening Peak,0.016483516483516484,1.3862943611198906,5.19295685089021,5.209486152841421
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.48,0.1045,2,110,112,Spring,Clear,Tuesday,Evening Peak,0.017857142857142856,1.0986122886681096,4.709530201312334,4.727387818712341
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.48,0.1045,1,53,54,Spring,Clear,Tuesday,Night/Early Morning,0.018518518518518517,0.6931471805599453,3.9889840465642745,4.007333185232471
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.64,0.0,0,48,48,Spring,Clear,Tuesday,Night/Early Morning,0.0,0.0,3.8918202981106265,3.8918202981106265
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.64,0.0896,1,34,35,Spring,Clear,Tuesday,Night/Early Morning,0.02857142857142857,0.6931471805599453,3.5553480614894135,3.58351893845611
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.69,0.0896,2,9,11,Spring,Clear,Tuesday,Night/Early Morning,0.18181818181818182,1.0986122886681096,2.302585092994046,2.4849066497880004
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.64,0.0,0,6,6,Spring,Clear,Wednesday,Night/Early Morning,0.0,0.0,1.9459101490553132,1.9459101490553132
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.74,0.0896,0,6,6,Spring,Clear,Wednesday,Night/Early Morning,0.0,0.0,1.9459101490553132,1.9459101490553132
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.74,0.0896,0,2,2,Spring,Clear,Wednesday,Night/Early Morning,0.0,0.0,1.0986122886681096,1.0986122886681096
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.48,0.2239,0,2,2,Spring,Clear,Wednesday,Night/Early Morning,0.0,0.0,1.0986122886681096,1.0986122886681096
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.47,0.1642,0,3,3,Spring,Clear,Wednesday,Night/Early Morning,0.0,0.0,1.3862943611198906,1.3862943611198906
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.47,0.2239,0,33,33,Spring,Clear,Wednesday,Morning Peak,0.0,0.0,3.5263605246161616,3.5263605246161616
99,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.43,0.194,1,87,88,Spring,Clear,Wednesday,Morning Peak,0.011363636363636364,0.6931471805599453,4.477336814478207,4.48863636973214
100,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.4,0.2985,3,192,195,Spring,Clear,Wednesday,Morning Peak,0.015384615384615385,1.3862943611198906,5.262690188904886,5.278114659230518
101,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.37,0.3284,6,109,115,Spring,Clear,Wednesday,Morning Peak,0.05217391304347826,1.9459101490553132,4.700480365792417,4.7535901911063645
102,2011-01-05,1,0,1,10,0,3,1,1,0.22,0.37,0.3284,4,53,57,Spring,Clear,Wednesday,Midday,0.07017543859649122,1.6094379124341003,3.9889840465642745,4.060443010546419
103,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.33,0.3284,12,34,46,Spring,Clear,Wednesday,Midday,0.2608695652173913,2.5649493574615367,3.5553480614894135,3.8501476017100584
104,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.33,0.3284,5,74,79,Spring,Clear,Wednesday,Midday,0.06329113924050633,1.791759469228055,4.31748811353631,4.382026634673881
105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.3,0.2985,6,65,71,Spring,Clear,Wednesday,Midday,0.08450704225352113,1.9459101490553132,4.189654742026425,4.276666119016055
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.28,0.194,10,52,62,Spring,Clear,Wednesday,Midday,0.16129032258064516,2.3978952727983707,3.970291913552122,4.143134726391533
107,2011-01-05,1,0,1,15,0,3,1,1,0.3,0.28,0.194,7,55,62,Spring,Clear,Wednesday,Midday,0.11290322580645161,2.0794415416798357,4.02535169073515,4.143134726391533
108,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.28,0.0896,4,85,89,Spring,Clear,Wednesday,Evening Peak,0.0449438202247191,1.6094379124341003,4.454347296253507,4.499809670330265
109,2011-01-05,1,0,1,17,0,3,1,1,0.24,0.38,0.194,4,186,190,Spring,Clear,Wednesday,Evening Peak,0.021052631578947368,1.6094379124341003,5.231108616854587,5.25227342804663
110,2011-01-05,1,0,1,18,0,3,1,1,0.24,0.38,0.1343,3,166,169,Spring,Clear,Wednesday,Evening Peak,0.01775147928994083,1.3862943611198906,5.117993812416755,5.135798437050262
111,2011-01-05,1,0,1,19,0,3,1,1,0.24,0.38,0.1045,5,127,132,Spring,Clear,Wednesday,Evening Peak,0.03787878787878788,1.791759469228055,4.852030263919617,4.890349128221754
112,2011-01-05,1,0,1,20,0,3,1,1,0.22,0.47,0.1642,7,82,89,Spring,Clear,Wednesday,Night/Early Morning,0.07865168539325842,2.0794415416798357,4.418840607796598,4.499809670330265
113,2011-01-05,1,0,1,21,0,3,1,1,0.2,0.51,0.194,3,40,43,Spring,Clear,Wednesday,Night/Early Morning,0.06976744186046512,1.3862943611198906,3.713572066704308,3.784189633918261
114,2011-01-05,1,0,1,22,0,3,1,1,0.18,0.55,0.1343,1,41,42,Spring,Clear,Wednesday,Night/Early Morning,0.023809523809523808,0.6931471805599453,3.7376696182833684,3.7612001156935624
115,2011-01-05,1,0,1,23,0,3,1,1,0.2,0.47,0.0,1,18,19,Spring,Clear,Wednesday,Night/Early Morning,0.05263157894736842,0.6931471805599453,2.9444389791664403,2.995732273553991
116,2011-01-06,1,0,1,0,0,4,1,1,0.18,0.55,0.0,0,11,11,Spring,Clear,Thursday,Night/Early Morning,0.0,0.0,2.4849066497880004,2.4849066497880004
117,2011-01-06,1,0,1,1,0,4,1,1,0.16,0.64,0.0,0,4,4,Spring,Clear,Thursday,Night/Early Morning,0.0,0.0,1.6094379124341003,1.6094379124341003
118,2011-01-06,1,0,1,2,0,4,1,1,0.16,0.64,0.0,0,2,2,Spring,Clear,Thursday,Night/Early Morning,0.0,0.0,1.0986122886681096,1.0986122886681096
119,2011-01-06,1,0,1,4,0,4,1,2,0.16,0.64,0.0896,0,1,1,Spring,Mist,Thursday,Night/Early Morning,0.0,0.0,0.6931471805599453,0.6931471805599453
120,2011-01-06,1,0,1,5,0,4,1,2,0.14,0.69,0.0896,0,4,4,Spring,Mist,Thursday,Night/Early Morning,0.0,0.0,1.6094379124341003,1.6094379124341003
121,2011-01-06,1,0,1,6,0,4,1,2,0.14,0.63,0.1045,0,36,36,Spring,Mist,Thursday,Morning Peak,0.0,0.0,3.6109179126442243,3.6109179126442243
122,2011-01-06,1,0,1,7,0,4,1,2,0.16,0.59,0.0,0,95,95,Spring,Mist,Thursday,Morning Peak,0.0,0.0,4.564348191467836,4.564348191467836
123,2011-01-06,1,0,1,8,0,4,1,1,0.16,0.59,0.0,3,216,219,Spring,Clear,Thursday,Morning Peak,0.0136986301369863,1.3862943611198906,5.37989735354046,5.393627546352361
124,2011-01-06,1,0,1,9,0,4,1,2,0.18,0.51,0.0,6,116,122,Spring,Mist,Thursday,Morning Peak,0.04918032786885246,1.9459101490553132,4.762173934797756,4.812184355372417
125,2011-01-06,1,0,1,10,0,4,1,1,0.2,0.47,0.0,3,42,45,Spring,Clear,Thursday,Midday,0.06666666666666667,1.3862943611198906,3.7612001156935624,3.828641396489095
126,2011-01-06,1,0,1,11,0,4,1,1,0.22,0.44,0.0896,2,57,59,Spring,Clear,Thursday,Midday,0.03389830508474576,1.0986122886681096,4.060443010546419,4.0943445622221
127,2011-01-06,1,0,1,12,0,4,1,1,0.26,0.35,0.0,6,78,84,Spring,Clear,Thursday,Midday,0.07142857142857142,1.9459101490553132,4.3694478524670215,4.442651256490317
128,2011-01-06,1,0,1,13,0,4,1,1,0.26,0.35,0.1045,12,55,67,Spring,Clear,Thursday,Midday,0.1791044776119403,2.5649493574615367,4.02535169073515,4.219507705176107
129,2011-01-06,1,0,1,14,0,4,1,1,0.28,0.36,0.1642,11,59,70,Spring,Clear,Thursday,Midday,0.15714285714285714,2.4849066497880004,4.0943445622221,4.2626798770413155
130,2011-01-06,1,0,1,15,0,4,1,1,0.28,0.36,0.0,8,54,62,Spring,Clear,Thursday,Midday,0.12903225806451613,2.1972245773362196,4.007333185232471,4.143134726391533
131,2011-01-06,1,0,1,16,0,4,1,1,0.26,0.38,0.1642,12,74,86,Spring,Clear,Thursday,Evening Peak,0.13953488372093023,2.5649493574615367,4.31748811353631,4.465908118654584
132,2011-01-06,1,0,1,17,0,4,1,1,0.22,0.51,0.1642,9,163,172,Spring,Clear,Thursday,Evening Peak,0.05232558139534884,2.302585092994046,5.099866427824199,5.153291594497779
133,2011-01-06,1,0,1,18,0,4,1,1,0.22,0.51,0.1343,5,158,163,Spring,Clear,Thursday,Evening Peak,0.03067484662576687,1.791759469228055,5.0689042022202315,5.099866427824199
134,2011-01-06,1,0,1,19,0,4,1,1,0.22,0.55,0.0896,3,109,112,Spring,Clear,Thursday,Evening Peak,0.026785714285714284,1.3862943611198906,4.700480365792417,4.727387818712341
135,2011-01-06,1,0,1,20,0,4,1,1,0.2,0.51,0.1642,3,66,69,Spring,Clear,Thursday,Night/Early Morning,0.043478260869565216,1.3862943611198906,4.204692619390966,4.248495242049359
136,2011-01-06,1,0,1,21,0,4,1,2,0.22,0.55,0.2239,0,48,48,Spring,Mist,Thursday,Night/Early Morning,0.0,0.0,3.8918202981106265,3.8918202981106265
137,2011-01-06,1,0,1,22,0,4,1,2,0.22,0.51,0.2836,1,51,52,Spring,Mist,Thursday,Night/Early Morning,0.019230769230769232,0.6931471805599453,3.9512437185814275,3.970291913552122
138,2011-01-06,1,0,1,23,0,4,1,2,0.2,0.59,0.194,4,19,23,Spring,Mist,Thursday,Night/Early Morning,0.17391304347826086,1.6094379124341003,2.995732273553991,3.1780538303479458
139,2011-01-07,1,0,1,0,0,5,1,2,0.2,0.64,0.194,4,13,17,Spring,Mist,Friday,Night/Early Morning,0.23529411764705882,1.6094379124341003,2.639057329615259,2.8903717578961645
140,2011-01-07,1,0,1,1,0,5,1,2,0.2,0.69,0.2239,2,5,7,Spring,Mist,Friday,Night/Early Morning,0.2857142857142857,1.0986122886681096,1.791759469228055,2.0794415416798357
141,2011-01-07,1,0,1,2,0,5,1,2,0.2,0.69,0.2239,0,1,1,Spring,Mist,Friday,Night/Early Morning,0.0,0.0,0.6931471805599453,0.6931471805599453
142,2011-01-07,1,0,1,4,0,5,1,2,0.2,0.69,0.1343,0,1,1,Spring,Mist,Friday,Night/Early Morning,0.0,0.0,0.6931471805599453,0.6931471805599453
143,2011-01-07,1,0,1,5,0,5,1,3,0.22,0.55,0.0,0,5,5,Spring,Light Snow/Rain,Friday,Night/Early Morning,0.0,0.0,1.791759469228055,1.791759469228055
