instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,cnt,season_name,weather_name,weekday_name,casual_ratio,log_casual,log_registered,log_cnt
24,2011-01-24,1,0,1,0,1,1,1,0.0973913,0.491739,0.15833,86.0,1330,1416.0,Spring,Clear,Monday,0.06073446327683616,4.465908118654584,7.193685818395112,7.256297239690681
25,2011-01-25,1,0,1,0,2,1,2,0.223478,0.616957,0.129796,186.0,1799,1985.0,Spring,Mist,Tuesday,0.09370277078085643,5.231108616854587,7.495541943884256,7.593877844605118
26,2011-01-26,1,0,1,0,3,1,3,0.2175,0.8625,0.29385,34.0,472,506.0,Spring,Light Snow/Rain,Wednesday,0.06719367588932806,3.5553480614894135,6.159095388491933,6.2285110035911835
27,2011-01-27,1,0,1,0,4,1,1,0.195,0.6875,0.113837,15.0,416,431.0,Spring,Clear,Thursday,0.03480278422273782,2.772588722239781,6.0330862217988015,6.068425588244111
28,2011-01-28,1,0,1,0,5,1,2,0.203478,0.793043,0.1233,38.0,1129,1167.0,Spring,Mist,Friday,0.032562125107112254,3.6635616461296463,7.029972911706386,7.0630481633881725
29,2011-01-29,1,0,1,0,6,0,1,0.196522,0.651739,0.145365,123.0,975,1098.0,Spring,Clear,Saturday,0.11202185792349727,4.820281565605037,6.883462586413092,7.002155954403621
30,2011-01-30,1,0,1,0,0,0,1,0.216522,0.722174,0.0739826,140.0,956,1096.0,Spring,Clear,Sunday,0.12773722627737227,4.948759890378168,6.863803391452954,7.00033446027523
31,2011-01-31,1,0,1,0,1,1,2,0.180833,0.60375,0.187192,42.0,1459,1501.0,Spring,Mist,Monday,0.02798134576948701,3.7612001156935624,7.286191714702382,7.31455283232408
32,2011-02-01,1,0,2,0,2,1,2,0.192174,0.829565,0.053213,47.0,1313,1360.0,Spring,Mist,Tuesday,0.03455882352941177,3.8712010109078907,7.1808311990445555,7.215975002651466
33,2011-02-02,1,0,2,0,3,1,2,0.26,0.775417,0.264308,72.0,1454,1526.0,Spring,Mist,Wednesday,0.047182175622542594,4.290459441148391,7.282761179605593,7.3310603052186325
34,2011-02-03,1,0,2,0,4,1,1,0.186957,0.437826,0.277752,61.0,1489,1550.0,Spring,Clear,Thursday,0.03935483870967742,4.127134385045092,7.306531398939505,7.346655163176539
35,2011-02-04,1,0,2,0,5,1,2,0.211304,0.585217,0.127839,88.0,1620,1708.0,Spring,Mist,Friday,0.05152224824355972,4.48863636973214,7.390798521735676,7.443663683115591
36,2011-02-05,1,0,2,0,6,0,2,0.233333,0.929167,0.161079,100.0,905,1005.0,Spring,Mist,Saturday,0.09950248756218906,4.61512051684126,6.80903930604298,6.913737350659685
37,2011-02-06,1,0,2,0,0,0,1,0.285833,0.568333,0.1418,354.0,1269,1623.0,Spring,Clear,Sunday,0.21811460258780038,5.872117789475416,7.146772179452637,7.392647520721623
38,2011-02-07,1,0,2,0,1,1,1,0.271667,0.738333,0.0454083,120.0,1592,1712.0,Spring,Clear,Monday,0.07009345794392523,4.795790545596741,7.373374309910049,7.44600149832412
39,2011-02-08,1,0,2,0,2,1,1,0.220833,0.537917,0.36195,64.0,1466,1530.0,Spring,Clear,Tuesday,0.04183006535947712,4.174387269895637,7.2909747781429814,7.333676395657684
40,2011-02-09,1,0,2,0,3,1,2,0.134783,0.494783,0.188839,53.0,1552,1605.0,Spring,Mist,Wednesday,0.03302180685358255,3.9889840465642745,7.347943823148687,7.381501894506707
41,2011-02-10,1,0,2,0,4,1,1,0.144348,0.437391,0.221935,47.0,1491,1538.0,Spring,Clear,Thursday,0.0305591677503251,3.8712010109078907,7.307872780763706,7.338888133838879
42,2011-02-11,1,0,2,0,5,1,1,0.189091,0.506364,0.10855,149.0,1597,1746.0,Spring,Clear,Friday,0.08533791523482245,5.0106352940962555,7.37650812632622,7.465655310134056
43,2011-02-12,1,0,2,0,6,0,1,0.2225,0.544167,0.203367,288.0,1184,1472.0,Spring,Clear,Saturday,0.1956521739130435,5.666426688112432,7.077498053569231,7.29505641646263
44,2011-02-13,1,0,2,0,0,0,1,0.316522,0.457391,0.260883,397.0,1192,1589.0,Spring,Clear,Sunday,0.24984266834487098,5.986452005284438,7.084226422097916,7.371489295214277
45,2011-02-14,1,0,2,0,1,1,1,0.415,0.375833,0.38061125,208.0,1705,1913.0,Spring,Clear,Monday,0.10872974385781495,5.342334251964811,7.441906728051625,7.5569505720129
46,2011-02-15,1,0,2,0,2,1,1,0.266087,0.314348,0.291374,140.0,1675,1815.0,Spring,Clear,Tuesday,0.07713498622589532,4.948759890378168,7.424165281042028,7.504391559161238
47,2011-02-16,1,0,2,0,3,1,1,0.318261,0.423478,0.251791,218.0,1897,2115.0,Spring,Clear,Wednesday,0.10307328605200945,5.389071729816501,7.5485559791698735,7.65728279297819
48,2011-02-17,1,0,2,0,4,1,1,0.435833,0.505,0.230104,259.0,2216,2475.0,Spring,Clear,Thursday,0.10464646464646464,5.560681631015528,7.7039102096163115,7.814399633804487
49,2011-02-18,1,0,2,0,5,1,1,0.521667,0.516667,0.264925,579.0,2348,2927.0,Spring,Clear,Friday,0.19781346088144858,6.363028103540465,7.761744984658913,7.982074875081202
50,2011-02-19,1,0,2,0,6,0,1,0.399167,0.20468725,0.38061125,532.0,1103,1635.0,Spring,Clear,Saturday,0.3253822629969419,6.278521424165844,7.00669522683704,7.400009517162692
51,2011-02-20,1,0,2,0,0,0,1,0.285217,0.407826,0.223235,639.0,1173,1812.0,Spring,Clear,Sunday,0.3526490066225166,6.461468176353717,7.068172000388042,7.502738210754851
52,2011-02-21,1,0,2,1,1,0,2,0.303333,0.605,0.307846,195.0,912,1107.0,Spring,Mist,Monday,0.17615176151761516,5.278114659230518,6.816735880594968,7.010311867307229
53,2011-02-22,1,0,2,0,2,1,1,0.182222,0.577778,0.195683,74.0,1376,1450.0,Spring,Clear,Tuesday,0.05103448275862069,4.31748811353631,7.227662498728655,7.280008252884188
54,2011-02-23,1,0,2,0,3,1,1,0.221739,0.423043,0.094113,139.0,1778,1917.0,Spring,Clear,Wednesday,0.07250912884715702,4.941642422609304,7.483806687665835,7.559038255443384
55,2011-02-24,1,0,2,0,4,1,2,0.295652,0.697391,0.250496,100.0,1707,1807.0,Spring,Mist,Thursday,0.05534034311012728,4.61512051684126,7.443078374348515,7.4999765409521215
56,2011-02-25,1,0,2,0,5,1,2,0.364348,0.712174,0.346539,120.0,1341,1461.0,Spring,Mist,Friday,0.08213552361396304,4.795790545596741,7.201916317531627,7.2875606403097235
57,2011-02-26,1,0,2,0,6,0,1,0.2825,0.537917,0.186571,424.0,1545,1969.0,Spring,Clear,Saturday,0.21533773489080751,6.052089168924417,7.343426229147367,7.585788821732034
58,2011-02-27,1,0,2,0,0,0,1,0.343478,0.68,0.125248,694.0,1708,2402.0,Spring,Clear,Sunday,0.28892589508742716,6.543911845564792,7.443663683115591,7.784473235736469
59,2011-02-28,1,0,2,0,1,1,2,0.407273,0.876364,0.289686,81.0,1365,1446.0,Spring,Mist,Monday,0.056016597510373446,4.406719247264253,7.2196420401307355,7.277247726631484
60,2011-03-01,1,0,3,0,2,1,1,0.266667,0.535,0.216425,137.0,1714,1851.0,Spring,Clear,Tuesday,0.07401404646137223,4.927253685157205,7.44716835960004,7.524021415206125
61,2011-03-02,1,0,3,0,3,1,1,0.335,0.449583,0.307833,231.0,1903,2134.0,Spring,Clear,Wednesday,0.10824742268041238,5.44673737166631,7.55171221535131,7.666221925662725
62,2011-03-03,1,0,3,0,4,1,1,0.198333,0.318333,0.225754,123.0,1562,1685.0,Spring,Clear,Thursday,0.07299703264094956,4.820281565605037,7.354362330421477,7.430114138561801
63,2011-03-04,1,0,3,0,5,1,2,0.261667,0.610417,0.203346,214.0,1730,1944.0,Spring,Mist,Friday,0.11008230452674897,5.3706380281276624,7.456454555176209,7.573017256052546
64,2011-03-05,1,0,3,0,6,0,2,0.384167,0.789167,0.251871,640.0,1437,2077.0,Spring,Mist,Saturday,0.30813673567645644,6.46302945692067,7.271008538280992,7.639161171659173
65,2011-03-06,1,0,3,0,0,0,2,0.376522,0.948261,0.343287,114.0,491,605.0,Spring,Mist,Sunday,0.1884297520661157,4.74493212836325,6.198478716492308,6.406879986069314
66,2011-03-07,1,0,3,0,1,1,1,0.261739,0.551304,0.341352,244.0,1628,1872.0,Spring,Clear,Monday,0.13034188034188035,5.501258210544727,7.395721608602045,7.5352967024440884
67,2011-03-08,1,0,3,0,2,1,1,0.2925,0.420833,0.12065,316.0,1817,2133.0,Spring,Clear,Tuesday,0.14814814814814814,5.75890177387728,7.505492274737424,7.665753431861699
68,2011-03-09,1,0,3,0,3,1,2,0.295833,0.775417,0.22015,191.0,1700,1891.0,Spring,Mist,Wednesday,0.10100475938656796,5.2574953720277815,7.438971592395862,7.545389749611823
69,2011-03-10,1,0,3,0,4,1,3,0.389091,0.20468725,0.261877,46.0,577,623.0,Spring,Light Snow/Rain,Thursday,0.0738362760834671,3.8501476017100584,6.359573868672378,6.436150368369428
70,2011-03-11,1,0,3,0,5,1,2,0.316522,0.649565,0.23297,247.0,1730,1977.0,Spring,Mist,Friday,0.12493677288821446,5.5134287461649825,7.456454555176209,7.589841512182657
71,2011-03-12,1,0,3,0,6,0,1,0.329167,0.594583,0.220775,724.0,1408,2132.0,Spring,Clear,Saturday,0.3395872420262664,6.586171654854675,7.25063551189868,7.665284718471351
72,2011-03-13,1,0,3,0,0,0,1,0.384348,0.527391,0.270604,982.0,1435,2417.0,Spring,Clear,Sunday,0.4062887877534133,6.890609120147166,7.269616749608169,7.790696031174738
73,2011-03-14,1,0,3,0,1,1,1,0.325217,0.496957,0.136926,359.0,1687,2046.0,Spring,Clear,Monday,0.17546432062561096,5.886104031450156,7.431299675155903,7.624130585661289
74,2011-03-15,1,0,3,0,2,1,2,0.317391,0.655652,0.184309,289.0,1767,2056.0,Spring,Mist,Tuesday,0.14056420233463035,5.66988092298052,7.477604243197589,7.6290038896529575
75,2011-03-16,1,0,3,0,3,1,2,0.365217,0.776522,0.203117,321.0,1871,2192.0,Spring,Mist,Wednesday,0.14644160583941607,5.7745515455444085,7.534762657037537,7.693025748417888
76,2011-03-17,1,0,3,0,4,1,1,0.415,0.602917,0.209579,424.0,2320,2744.0,Spring,Clear,Thursday,0.15451895043731778,6.052089168924417,7.749753406274437,7.917536353943631
77,2011-03-18,1,0,3,0,5,1,1,0.54,0.525217,0.231017,884.0,2355,3239.0,Spring,Clear,Friday,0.27292374189564683,6.785587645007929,7.764720544771477,8.083328608786376
78,2011-03-19,1,0,3,0,6,0,1,0.4725,0.379167,0.368167,1424.0,1693,3117.0,Spring,Clear,Saturday,0.45684953480911134,7.261927092702751,7.434847875211999,8.044947049617722
79,2011-03-20,1,0,3,0,0,0,1,0.3325,0.47375,0.207721,1047.0,1424,2471.0,Spring,Clear,Sunday,0.4237150951031971,6.954638864880987,7.261927092702751,7.812782818577581
80,2011-03-21,2,0,3,0,1,1,2,0.430435,0.737391,0.288783,401.0,1676,2077.0,Summer,Mist,Monday,0.19306692344727974,5.996452088619021,7.424761761823209,7.639161171659173
81,2011-03-22,2,0,3,0,2,1,1,0.441667,0.624583,0.22575,460.0,2243,2703.0,Summer,Clear,Tuesday,0.1701812800591935,6.133398042996649,7.716015266642587,7.902487437162855
82,2011-03-23,2,0,3,0,3,1,2,0.346957,0.839565,0.234261,203.0,1918,2121.0,Summer,Mist,Wednesday,0.09570957095709572,5.318119993844216,7.5595594960077,7.660114319173928
83,2011-03-24,2,0,3,0,4,1,2,0.285,0.805833,0.243787,166.0,1699,1865.0,Summer,Mist,Thursday,0.08900804289544235,5.117993812416755,7.438383530044307,7.531552381407289
84,2011-03-25,2,0,3,0,5,1,1,0.264167,0.495,0.230725,300.0,1910,2210.0,Summer,Clear,Friday,0.13574660633484162,5.707110264748875,7.555381944240273,7.701200180857446
85,2011-03-26,2,0,3,0,6,0,1,0.265833,0.394167,0.209571,981.0,1515,2496.0,Summer,Clear,Saturday,0.39302884615384615,6.889591308354466,7.323830566202317,7.822845290279774
86,2011-03-27,2,0,3,0,0,0,2,0.253043,0.493913,0.1843,472.0,1221,1693.0,Summer,Mist,Sunday,0.27879503839338454,6.159095388491933,7.108244139731541,7.434847875211999
87,2011-03-28,2,0,3,0,1,1,1,0.264348,0.302174,0.212204,222.0,1806,2028.0,Summer,Clear,Monday,0.10946745562130178,5.407171771460119,7.499423290592229,7.615298339825815
88,2011-03-29,2,0,3,0,2,1,1,0.3025,0.314167,0.226996,317.0,2108,2425.0,Summer,Clear,Tuesday,0.13072164948453607,5.762051382780177,7.653969180478774,7.793999089503996
89,2011-03-30,2,0,3,0,3,1,2,0.3,0.646667,0.172888,168.0,1368,1536.0,Summer,Mist,Wednesday,0.109375,5.1298987149230735,7.221835825288449,7.337587743538596
90,2011-03-31,2,0,3,0,4,1,3,0.268333,0.918333,0.217646,179.0,1506,1685.0,Summer,Light Snow/Rain,Thursday,0.10623145400593471,5.19295685089021,7.317876198626496,7.430114138561801
91,2011-04-01,2,0,4,0,5,1,2,0.3,0.68625,0.258708,307.0,1920,2227.0,Summer,Mist,Friday,0.13785361472833407,5.730099782973575,7.560601162768557,7.708859601047175
92,2011-04-02,2,0,4,0,6,0,2,0.315,0.65375,0.197146,898.0,1354,2252.0,Summer,Mist,Saturday,0.3987566607460036,6.80128303447162,7.2115567333138015,7.720017940432244
93,2011-04-03,2,0,4,0,0,0,1,0.378333,0.48,0.182213,1651.0,1598,3249.0,Summer,Clear,Sunday,0.5081563558017852,7.409741954080923,7.377133712833954,8.086410275323782
94,2011-04-04,2,0,4,0,1,1,1,0.573333,0.42625,0.38061125,734.0,2381,3115.0,Summer,Clear,Monday,0.23563402889245585,6.5998704992128365,7.775695749915245,8.044305406990638
95,2011-04-05,2,0,4,0,2,1,2,0.414167,0.642083,0.38061125,167.0,1628,1795.0,Summer,Mist,Tuesday,0.09303621169916435,5.123963979403259,7.395721608602045,7.493317248862145
96,2011-04-06,2,0,4,0,3,1,1,0.390833,0.470833,0.263063,413.0,2395,2808.0,Summer,Clear,Wednesday,0.14707977207977208,6.025865973825314,7.78155595923534,7.940583827104244
97,2011-04-07,2,0,4,0,4,1,1,0.4375,0.602917,0.162312,571.0,2570,3141.0,Summer,Clear,Thursday,0.18178923909582936,6.349138991379798,7.852050207265889,8.052614818815567
98,2011-04-08,2,0,4,0,5,1,2,0.335833,0.83625,0.226992,172.0,1299,1471.0,Summer,Mist,Friday,0.11692726036709722,5.153291594497779,7.170119543449628,7.294377299288821
99,2011-04-09,2,0,4,0,6,0,2,0.3425,0.8775,0.133083,879.0,1576,2455.0,Summer,Mist,Saturday,0.35804480651731163,6.779921907472252,7.3632795869630385,7.806289289267033
100,2011-04-10,2,0,4,0,0,0,2,0.426667,0.8575,0.146767,1188.0,1707,2895.0,Summer,Mist,Sunday,0.41036269430051814,7.080867896690782,7.443078374348515,7.971085753505607
101,2011-04-11,2,0,4,0,1,1,2,0.595652,0.716956,0.324474,855.0,2493,3348.0,Summer,Mist,Monday,0.2553763440860215,6.752270376141742,7.821643126239982,8.116417072794205
102,2011-04-12,2,0,4,0,2,1,2,0.5025,0.739167,0.274879,257.0,1777,2034.0,Summer,Mist,Tuesday,0.1263520157325467,5.552959584921617,7.48324441607385,7.618251097876695
103,2011-04-13,2,0,4,0,3,1,2,0.4125,0.819167,0.250617,209.0,1953,2162.0,Summer,Mist,Wednesday,0.09666975023126735,5.3471075307174685,7.577633832602728,7.679251425953058
104,2011-04-14,2,0,4,0,4,1,1,0.4675,0.540417,0.1107,529.0,2738,3267.0,Summer,Clear,Thursday,0.16192225283134373,6.272877006546167,7.915348169263078,8.091933455979893
105,2011-04-15,2,0,4,1,5,0,1,0.446667,0.67125,0.226375,642.0,2484,3126.0,Summer,Clear,Friday,0.2053742802303263,6.466144724237619,7.818027938530729,8.047829357457841
106,2011-04-16,2,0,4,0,6,0,3,0.430833,0.888333,0.340808,121.0,674,795.0,Summer,Light Snow/Rain,Saturday,0.15220125786163521,4.804021044733257,6.51471269087253,6.679599185844383
107,2011-04-17,2,0,4,0,0,0,1,0.456667,0.479583,0.303496,1558.0,2186,3744.0,Summer,Clear,Sunday,0.41613247863247865,7.351799869057777,7.690286020676768,8.22817689595132
108,2011-04-18,2,0,4,0,1,1,1,0.5125,0.5425,0.163567,669.0,2760,3429.0,Summer,Clear,Monday,0.19510061242344706,6.507277712385012,7.923348211930154,8.140315540159985
109,2011-04-19,2,0,4,0,2,1,2,0.505833,0.665833,0.157971,409.0,2795,3204.0,Summer,Mist,Tuesday,0.12765293383270912,6.016157159698354,7.935945103353701,8.07246736935477
110,2011-04-20,2,0,4,0,3,1,1,0.595,0.614167,0.241925,613.0,3331,3944.0,Summer,Clear,Wednesday,0.15542596348884383,6.419994928147142,8.111328003286733,8.280204233279974
111,2011-04-21,2,0,4,0,4,1,1,0.459167,0.407083,0.325258,745.0,3444,4189.0,Summer,Clear,Thursday,0.1778467414657436,6.61472560020376,8.144679183447758,8.340456012916183
112,2011-04-22,2,0,4,0,5,1,2,0.336667,0.729583,0.219521,177.0,1506,1683.0,Summer,Mist,Friday,0.1051693404634581,5.181783550292085,7.317876198626496,7.428927194802272
113,2011-04-23,2,0,4,0,6,0,2,0.46,0.887917,0.230725,1462.0,2574,4036.0,Summer,Mist,Saturday,0.3622398414271556,7.288244401020124,7.853604813097837,8.30325712085294
114,2011-04-24,2,0,4,0,0,0,2,0.581667,0.810833,0.192175,1710.0,2481,4191.0,Summer,Mist,Sunday,0.408017179670723,7.444833273892193,7.8168199657645525,8.340933226000878
115,2011-04-25,2,0,4,0,1,1,1,0.606667,0.776667,0.185333,773.0,3300,4073.0,Summer,Clear,Monday,0.18978639823226123,6.651571873589727,8.101980731853192,8.31238059678675
116,2011-04-26,2,0,4,0,2,1,1,0.631667,0.729167,0.3265,678.0,3722,4400.0,Summer,Clear,Tuesday,0.15409090909090908,6.520621127558696,8.222285073872717,8.38958706681109
117,2011-04-27,2,0,4,0,3,1,2,0.62,0.835417,0.3122,547.0,3325,3872.0,Summer,Mist,Wednesday,0.1412706611570248,6.306275286948016,8.109525659752872,8.261784679514752
118,2011-04-28,2,0,4,0,4,1,2,0.6175,0.700833,0.320908,569.0,3489,4058.0,Summer,Mist,Thursday,0.1402168555938886,6.345636360828596,8.157657015196472,8.308691916838898
119,2011-04-29,2,0,4,0,5,1,1,0.51,0.457083,0.240063,878.0,3717,4595.0,Summer,Clear,Friday,0.19107725788900978,6.778784897685177,8.220941168281389,8.432941638968646
120,2011-04-30,2,0,4,0,6,0,1,0.4725,0.503333,0.235075,1965.0,3347,5312.0,Summer,Clear,Saturday,0.3699171686746988,7.583756300707112,8.116118431609365,8.577911926450943
121,2011-05-01,2,0,5,0,0,0,2,0.451667,0.762083,0.106354,1138.0,2213,3351.0,Summer,Mist,Sunday,0.339600119367353,7.037905963447182,7.7025561132685825,8.117312461601975
122,2011-05-02,2,0,5,0,1,1,2,0.549167,0.73,0.183454,847.0,3554,4401.0,Summer,Mist,Monday,0.19245625994092252,6.742880635791903,8.176110342237342,8.389814262086407
123,2011-05-03,2,0,5,0,2,1,2,0.616667,0.697083,0.342667,603.0,3848,4451.0,Summer,Mist,Tuesday,0.1354751741181757,6.403574197934815,8.255568653283746,8.401108712395436
124,2011-05-04,2,0,5,0,3,1,2,0.414167,0.737083,0.328996,255.0,2378,2633.0,Summer,Mist,Wednesday,0.09684770224078998,5.545177444479562,7.774435510302958,7.876258882303226
125,2011-05-05,2,0,5,0,4,1,1,0.459167,0.444167,0.295392,614.0,3819,4433.0,Summer,Clear,Thursday,0.1385066546356869,6.421622267806518,8.24800570160062,8.397057390176256
126,2011-05-06,2,0,5,0,5,1,1,0.479167,0.59,0.228246,894.0,3714,4608.0,Summer,Clear,Friday,0.19401041666666666,6.796823718274855,8.220133957151859,8.435766192720509
127,2011-05-07,2,0,5,0,6,0,1,0.52,0.54125,0.16045,1612.0,3102,4714.0,Summer,Clear,Saturday,0.3419601187950785,7.385851078125209,8.04012466444838,8.458504195067558
128,2011-05-08,2,0,5,0,0,0,1,0.528333,0.631667,0.0746375,1401.0,2932,4333.0,Summer,Clear,Sunday,0.32333256404338795,7.2456550675945355,7.983781068977451,8.374246182096304
129,2011-05-09,2,0,5,0,1,1,1,0.5325,0.58875,0.176,664.0,3698,4362.0,Summer,Clear,Monday,0.1522237505731316,6.499787040655854,8.215817791832453,8.38091517312361
130,2011-05-10,2,0,5,0,2,1,1,0.5325,0.489167,0.115671,694.0,4109,4803.0,Summer,Clear,Tuesday,0.14449302519258797,6.543911845564792,8.32117830749028,8.477204183199873
131,2011-05-11,2,0,5,0,3,1,1,0.5425,0.632917,0.120642,550.0,3632,4182.0,Summer,Clear,Wednesday,0.13151602104256338,6.311734809152915,8.197814032221203,8.338783971442199
132,2011-05-12,2,0,5,0,4,1,1,0.535,0.7475,0.189667,695.0,4169,4864.0,Summer,Clear,Thursday,0.14288651315789475,6.54534966033442,8.335671314792847,8.489821994620105
133,2011-05-13,2,0,5,0,5,1,2,0.5125,0.863333,0.179725,692.0,3413,4105.0,Summer,Mist,Friday,0.16857490864799027,6.541029999189903,8.135639903354386,8.32020459757888
134,2011-05-14,2,0,5,0,6,0,2,0.520833,0.9225,0.13495,902.0,2507,3409.0,Summer,Mist,Saturday,0.26459372249926666,6.805722553416985,7.827240901752812,8.134467570277563
135,2011-05-15,2,0,5,0,0,0,2,0.5625,0.867083,0.152979,1582.0,2971,4553.0,Summer,Mist,Sunday,0.3474632110696244,7.367077059881012,7.99699040583765,8.423761246623686
136,2011-05-16,2,0,5,0,1,1,1,0.5775,0.787917,0.126871,773.0,3185,3958.0,Summer,Clear,Monday,0.19530065689742293,6.651571873589727,8.066521490469993,8.28374674710613
137,2011-05-17,2,0,5,0,2,1,2,0.561667,0.837917,0.277354,678.0,3445,4123.0,Summer,Mist,Tuesday,0.16444336648071792,6.520621127558696,8.144969417087875,8.32457884513685
138,2011-05-18,2,0,5,0,3,1,2,0.55,0.87,0.201492,536.0,3319,3855.0,Summer,Mist,Wednesday,0.1390402075226978,6.285998094508865,8.107720061910534,8.257385655730436
139,2011-05-19,2,0,5,0,4,1,2,0.530833,0.829583,0.108213,735.0,3840,4575.0,Summer,Mist,Thursday,0.16065573770491803,6.601230118728877,8.253488028345904,8.428580533059634
140,2011-05-20,2,0,5,0,5,1,1,0.536667,0.719583,0.125013,909.0,4008,4917.0,Summer,Clear,Friday,0.18486882245271508,6.813444599510896,8.296297112642508,8.500657222776137
141,2011-05-21,2,0,5,0,6,0,1,0.6025,0.626667,0.12065,2258.0,3547,5805.0,Summer,Clear,Saturday,0.38897502153316105,7.7226775164680035,8.17413934342947,8.666647144584575
142,2011-05-22,2,0,5,0,0,0,1,0.604167,0.749583,0.148008,1576.0,3084,4660.0,Summer,Clear,Sunday,0.3381974248927039,7.3632795869630385,8.034306936339489,8.446985296372741
143,2011-05-23,2,0,5,0,1,1,2,0.631667,0.81,0.233842,836.0,3438,4274.0,Summer,Mist,Monday,0.19560131024801122,6.729824070489475,8.142936010432265,8.360539381370861
